Title,Subtitle,Rating,Authors,Series,Volume,Publisher,Release Date,Description,ISBN-10,ISBN-13,Google ID,No. Of Pages,Dimensions,Collections,Subjects,Notes,Cover Image URL,Info URL
Generation Kill,,,Evan Wright,,,Random House,2005-04-11,"Generation Kill is about the young men sent to fight their nation's first open-ended war since Vietnam. Despite the flurry of media images to come of the recent wars in Afghanistan and Iraq, you have never really met any of these people, who serve as front-line troops. For whatever reason, the media simply doesn't get them. As we all know, news accounts of the last two wars focused almost exclusively on battlefield imagery of high-tech weapons wreaking astounding destruction, comply with analysis from retired army grandees and other experts, punctuated by the odd heart-warming patriotic sound-bite. The troops themselves play a role in the media's presentation of recent wars rather like extras in The Triumph of the Will. They are everywhere yet somehow invisible. When they speak you get the sense that what they are saying has been carefully scripted. Now Generation Kill tells the soldiers' story in their own words. The narrative focuses on a platoon of 23 marines, many of them veterans of Afghanistan, whose elite reconnaissance unit spearheaded the blitzkrieg on Iraq. This is the story of young men that have been trained to become ruthless killers. It's about surviving death. It's about taking part in a war many questioned before it even began. Evan Wright was the only reporter with First Recon, which operated well ahead of most other forces, usually behind enemy lines. They were among the first marines sent into the fight and one of the last units still engaged on the outskirts of Iraq, even after the city centre fell. Generation Kill is not just a combat chronicle but an inside look at how people fighting in war actually experience it. It is both an action narrative like Black Hawk Down and a detailed portrait of a generation at war along the lines of Band of Brothers. It is not a book you are going to forget in a hurry...",0552151890,9780552151894,juPUdF-9zM4C,465,12.8x19.8x3.0 cm,,"History / Military / United States, History / Military / Iraq War (2003-), History / Middle East / General",,http://bks6.books.google.com/books?id=juPUdF-9zM4C&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=juPUdF-9zM4C
German,,,"Paul Coggle, Heiner Schenke",,,Hodder Education,2003-03-01,,0340866713,9780340866719,rOoSPwAACAAJ,368,13.0x20.0x5.2 cm,,"German language, Foreign Language Study / German",,,http://books.google.com/books?id=rOoSPwAACAAJ
German Language Course,,,Caxton Editions (Firm),,,Caxton Editions,2003-05-12,Learn the German language with authentic dialogues in modern German recorded on the CDs. Includes short exercises for practising grammar and vocabulary skills.,1840674490,9781840674491,T7mmAAAACAAJ,208,18.0x25.0x24.7 cm,,"German language, Foreign Language Study / German",,,http://books.google.com/books?id=T7mmAAAACAAJ
German-English Dictionary,,,"Geddes & Grosset,, Limited",,,"Geddes & Grosset, Limited",2000-12-31,,1855343401,9781855343405,xDF3AAAACAAJ,240,,,Foreign Language Study / German,,,http://books.google.com/books?id=xDF3AAAACAAJ
Globalization and culture,,,John Tomlinson,,,Polity,2000-01-01,,0745613381,9780745613383,-xb9tgAACAAJ,238,15.0x23.0x2.0 cm,,,,http://bks5.books.google.com/books?id=-xb9tgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=-xb9tgAACAAJ
Goldmine 6 for Dummies,,,Joel Scott,,,Wiley,2002-12-20,"* The fun and easy way to get the most out of GoldMine, the popular Customer Relationship Management (CRM) software * Covers the new features and enhancements to GoldMine * Discusses GoldMine essentials, such as building a contact database, tracking business activity, setting a work schedule, e-mailing and faxing, and creating reports and forecasts * Demonstrates how to customize GoldMine, distribute information to a team, and utilize remote synchronization * Author's company has been awarded GoldMine's prestigious Top 10 dealer status every year since 1996",0764508458,9780764508455,JJ9cuW6EoH8C,390,18.8x23.4x2.1 cm,,"Business - Communication systems, Business/ Communication systems, Business, GoldMine (Computer file), Sales management, Business & Economics / Customer Relations, Computers / Enterprise Applications / General, Computers / Database Management / General, Computers / Software Development & Engineering / General, Computers / Desktop Applications / Suites, Business & Economics / Sales & Selling, Computers / Enterprise Applications",,http://bks6.books.google.com/books?id=JJ9cuW6EoH8C&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=JJ9cuW6EoH8C
Great Britain and the Irish question 1800-1922,,,Paul Adelman,,,Hodder & Stoughton,1996-02-05,,0340546468,9780340546468,vGOPNwAACAAJ,161,13.9x22.0x1.0 cm,,"Great Britain, Home rule, Ireland, Irish question, Political Science / International Relations / General",,,http://books.google.com/books?id=vGOPNwAACAAJ
Guitar Case Chord Book,,,"Peter Pickow, Arthur Dick",,,Music Sales,2002-01-01,Guitarskole for begyndere.,0860015513,9780860015512,IZrjAAAACAAJ,48,25.0x34.0x30.4 cm,,"Electric guitar, Guitar",,http://bks4.books.google.com/books?id=IZrjAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=IZrjAAAACAAJ
Hacking,the art of exploitation,,Jon Erickson,,,No Starch Press,2008-01-01,"Hacking is the art of creative problem solving, whether that means finding an unconventional solution to a difficult problem or exploiting holes in sloppy programming. Many people call themselves hackers, but few have the strong technical foundation needed to really push the envelope. Rather than merely showing how to run existing exploits, author Jon Erickson explains how arcane hacking techniques actually work. To share the art and science of hacking in a way that is accessible to everyone, Hacking: The Art of Exploitation, 2nd Edition introduces the fundamentals of C programming from a hacker's perspective. The included LiveCD provides a complete Linux programming and debugging environment-all without modifying your current operating system. Use it to follow along with the book's examples as you fill gaps in your knowledge and explore hacking techniques on your own. Get your hands dirty debugging code, overflowing buffers, hijacking network communications, bypassing protections, exploiting cryptographic weaknesses, and perhaps even inventing new exploits. This book will teach you how to: Program computers using C, assembly language, and shell scripts Corrupt system memory to run arbitrary code using buffer overflows and format strings Inspect processor registers and system memory with a debugger to gain a real understanding of what is happening Outsmart common security measures like nonexecutable stacks and intrusion detection systems Gain access to a remote server using port-binding or connect-back shellcode, and alter a server's logging behavior to hide your presence Redirect network traffic, conceal open ports, and hijack TCP connections Crack encrypted wireless trafficusing the FMS attack, and speed up brute-force attacks using a password probability matrix Hackers are always pushing the boundaries, investigating the unknown, and evolving their art. Even if you don't already know how to program, Hacking: The Art of Exploitation, 2nd Edition will give you a complete picture of programming, machine architecture, network communications, and existing hacking techniques. Combine this knowledge with the included Linux environment, and all you need is your own creativity.",1593271441,9781593271442,0FW3DMNhl1EC,492,17.8x23.0x3.1 cm,,"Computer hackers, Computer networks - Security measures, Computer networks/ Security measures, Computer networks, Computer security, Computers / General, Computers / Networking / Security, Computers / Programming / General, Computers / Security / General",,http://bks5.books.google.com/books?id=0FW3DMNhl1EC&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=0FW3DMNhl1EC
Harrap German Dictionary,,,Harrap,,,Harper,1999-07-01,,0245606289,9780245606281,d_-kPwAACAAJ,640,11.0x18.0 cm,,"English language, German language, Foreign Language Study / German",,http://bks2.books.google.com/books?id=d_-kPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=d_-kPwAACAAJ
Head first Java,,,"Kathy Sierra, Bert Bates",,,"O'Reilly Media, Inc.",2005-01-01,"Learning a complex new language is no easy task especially when it s an object-oriented computer programming language like Java. You might think the problem is your brain. It seems to have a mind of its own, a mind that doesn't always want to take in the dry, technical stuff you're forced to study. The fact is your brain craves novelty. It's constantly searching, scanning, waiting for something unusual to happen. After all, that's the way it was built to help you stay alive. It takes all the routine, ordinary, dull stuff and filters it to the background so it won't interfere with your brain's real work--recording things that matter. How does your brain know what matters? It's like the creators of the Head First approach say, suppose you're out for a hike and a tiger jumps in front of you, what happens in your brain? Neurons fire. Emotions crank up. Chemicals surge. That's how your brain knows. And that's how your brain will learn Java. ""Head First Java"" combines puzzles, strong visuals, mysteries, and soul-searching interviews with famous Java objects to engage you in many different ways. It's fast, it's fun, and it's effective. And, despite its playful appearance, Head First Java is serious stuff: a complete introduction to object-oriented programming and Java. You'll learn everything from the fundamentals to advanced topics, including threads, network sockets, and distributed programming with RMI. And the new. second edition focuses on Java 5.0, the latest version of the Java language and development platform. Because Java 5.0 is a major update to the platform, with deep, code-level changes, even more careful study and implementation is required. So learning the Head First way is more important than ever. If you've read a Head First book, you know what to expect--a visually rich format designed for the way your brain works. If you haven't, you're in for a treat. You'll see why people say it's unlike any other Java book you've ever read. By exploiting how your brain works, ""Head First Java"" compresses the time it takes to learn and retain--complex information. Its unique approach not only shows you what you need to know about Java syntax, it teaches you to think like a Java programmer. If you want to be bored, buy some other book. But if you want to understand Java, this book's for you.",0596009208,9780596009205,5VTBuvfZDyoC,722,20.3x24.0x3.8 cm,,"Electronic books, Java (Computer program language), Object-oriented programming (Computer science), Computers / Programming / General, Computers / Programming Languages / General, Computers / Programming / Object Oriented, Computers / Programming Languages / Java, Computers / Certification Guides / General",,http://bks6.books.google.com/books?id=5VTBuvfZDyoC&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=5VTBuvfZDyoC
How to write dissertations & project reports,,,"Kathleen McMillan, Jonathan Weyers",,,Pearson Further Education,2009-05-11,"How to write great dissertations and projects provides all of the tips and techniques that a student is likely to need to choose, research, write and present dissertations and projects that will guarantee you top marks.",0273726935,9780273726937,x_5JPgAACAAJ,286,13.3x21.0x1.3 cm,,"Dissertations,, Academic/ Authorship, Dissertations,, Academic, Report writing, Business & Economics / Business Communication / General, Education / Higher, Language Arts & Disciplines / Composition & Creative Writing, Reference / Writing Skills",,http://bks0.books.google.com/books?id=x_5JPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=x_5JPgAACAAJ
HTML 4 for dummies quick reference,,,"Deborah S. Ray, Eric J. Ray",,,Wiley,2000-07-18,"No one can memorize the hundreds of HTML tags that make up the 4.01 standard. HTML 4 For Dummies Quick Reference, 2nd Edition provides a guide to all the updated HTML tags as well as easy-to-follow information on building HTML Web pages and sites and posting your work online. Unique to this Quick Reference is a full-color Cheat Sheet that displays 216 colors available for use on a Web page with HTML.",0764507214,9780764507212,qQ9wAAAACAAJ,240,15.2x21.6x1.8 cm,,"Electronic publishing, HTML (Document markup language), Hypertext systems, Web sites/ Design, Web sites, World Wide Web, Computers / Networking / General, Computers / Programming Languages / HTML, Computers / Internet / General, Computers / Web / Page Design",,http://bks4.books.google.com/books?id=qQ9wAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=qQ9wAAAACAAJ
I. B. M. Personal Computer Assembly Language and Programming,,,Peter Abel,,,Pearson plc,1994-12-31,,0131920634,9780131920637,XzPzQwAACAAJ,560,18.0x24.0 cm,,,,,http://books.google.com/books?id=XzPzQwAACAAJ
Information technology for travel and tourism,,,Gary Inkpen,,,Pitman,1994-01-01,,0273602292,9780273602293,zrFxQgAACAAJ,294,19.0x25.0x1.9 cm,,"Data processing, Information technology, Tourism, Tourist trade, Travel, Business & Economics / Industries / Hospitality,, Travel & Tourism, Computers / General",,http://bks2.books.google.com/books?id=zrFxQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=zrFxQgAACAAJ
Instant Russian,,,Elisabeth Smith,,,Hodder Education,2003-06-01,,0340866845,9780340866849,VbDqGwAACAAJ,116,13.0x20.0x23.1 cm,,Foreign Language Study / Russian,,,http://books.google.com/books?id=VbDqGwAACAAJ
Introducing Systems Development,,,"Steve Skidmore, Malcolm Eva",,,Palgrave Macmillan,2003-08-20,,0333973690,9780333973691,7qtQGwAACAAJ,352,19.0x25.0x2.4 cm,,"System design, Computers / Computer Science, Computers / Software Development & Engineering / Systems Analysis & Design",,http://bks4.books.google.com/books?id=7qtQGwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=7qtQGwAACAAJ
Introduction to engineering mathematics,,,"Tony Croft, Anthony Croft, Robert Davison, Martin Hargreaves",,,Addison-Wesley,1995-01-01,"This text provides a well-paced, mathematically sound and motivating foundation in 'applicable' mathematics. The book aims to give students the ability to think conceptually in mathematical terms by presenting mathematical techniques, together with simple and clear explanations of the concepts behind them. A wide variety of practical engineering examples are used to reinforce the mathematics.",0201624427,9780201624427,C5djQgAACAAJ,762,17.2x24.0x4.0 cm,,"Engineering mathematics, Mathematics / General, Technology & Engineering / Engineering (General)",,http://bks1.books.google.com/books?id=C5djQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=C5djQgAACAAJ
"Italy: liberalism and Fascism, 1870-1945",,,Mark Robson,,,Hodder & Stoughton,1995-01-01,,0340545488,9780340545485,CM9StwAACAAJ,154,,,,,,http://books.google.com/books?id=CM9StwAACAAJ
Java,,,"Chris Wright, Chris Wright (računalništvo.)",,,Hodder Headline,2003-06-27,"Teach Yourself Java is a user-friendly and simple introduction to programming in Java 2, the language which powers the Internet. It teaches you the core skills necessary to produce coherent, maintainable code to enhance web sites and build interactive pages. Teach Yourself Java covers: - graphics - communications - GUI design (Swing) - object orientation and threads The Teach Yourself Computing range offers concise introductions to today's most popular programs, software and languages.",0340867337,9780340867334,NijtHAAACAAJ,192,12.9x19.9x1.5 cm,,"Java (Computer program language), Computers / Programming Languages / Java",,http://bks3.books.google.com/books?id=NijtHAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=NijtHAAACAAJ
JavaScript,the good parts,,Douglas Crockford,,,"O'Reilly Media, Inc.",2008-01-01,"Most programming languages contain good and bad parts, but JavaScript has more than its share of the bad, having been developed and released in a hurry before it could be refined. This authoritative book scrapes away these bad features to reveal a subset of JavaScript that's more reliable, readable, and maintainable than the language as a whole-a subset you can use to create truly extensible and efficient code. Considered the JavaScript expert by many people in the development community, author Douglas Crockford identifies the abundance of good ideas that make JavaScript an outstanding object-oriented programming language-ideas such as functions, loose typing, dynamic objects, and an expressive object literal notation. Unfortunately, these good ideas are mixed in with bad and downright awful ideas, like a programming model based on global variables. When Java applets failed, JavaScript became the language of the Web by default, making its popularity almost completely independent of its qualities as a programming language. In JavaScript: The Good Parts, Crockford finally digs through the steaming pile of good intentions and blunders to give you a detailed look at all the genuinely elegant parts of JavaScript, including: Syntax Objects Functions Inheritance Arrays Regular expressions Methods Style Beautiful features The real beauty? As you move ahead with the subset of JavaScript that this book presents, you'll also sidestep the need to unlearn all the bad parts. Of course, if you want to find out more about the bad parts and how to use them badly, simply consult any other JavaScript book. With JavaScript: The Good Parts, you'll discover a beautiful, elegant, lightweight and highly expressive language that lets you create effective code, whether you're managing object libraries or just trying to get Ajax to run fast. If you develop sites or applications for the Web, this book is an absolute must.",0596517742,9780596517748,PXa2bby0oQ0C,172,17.8x23.3x0.9 cm,,"Computer programming, Electronic books, JavaScript (Computer program language), Programming languages (Electronic computers), Computers / General, Computers / Programming / General, Computers / Software Development & Engineering / General, Computers / Programming Languages / JavaScript, Computers / Internet / General, Computers / Web / Page Design, Computers / Programming Languages / JavaScript & VBScript",,http://bks8.books.google.com/books?id=PXa2bby0oQ0C&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=PXa2bby0oQ0C
Journeys of Frodo,an atlas of J.R.R. Tolkien's The Lord of the Rings,,"Barbara Strachey, John Ronald Reuel Tolkien",,,HarperCollins,1998-01-01,"''Journeys of Frodo'' is an Atlas of 51 maps charting the epic journey that Frodo and his companions undertake in J.R.R. Tolkien’s epic work, ''The Lord of the Rings''. Based on clear and detailed descriptions given in the text and on the original maps that appear in ''The Lord of the Rings'', as well as Tolkien’s own paintings and drawings of the landscape and features of Middle-earth, this book clearly shows Frodo’s route, together with the paths taken by other principal characters. The maps provide enough detail to help the reader envisage the country through which the narrative moves, and each one also has extensive notes about the journey.",0261102672,9780261102675,5NbVAAAACAAJ,112,25.0x19.0x1.0 cm,,"Fantasy fiction,, English, Geographical myths, Middle Earth (Imaginary place), Fiction / Fantasy / General, Fiction / Literary",,http://bks0.books.google.com/books?id=5NbVAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=5NbVAAAACAAJ
JPod,a novel,,Douglas Coupland,,,Bloomsbury,2007-06-04,"Ethan and his five co-workers are marooned in JPod, a no-escape architectural limbo on the fringes of a massive game-design company. There they wage battle against the demands of boneheaded marketing staff who torture them with idiotic changes to already idiotic games. Meanwhile, Ethan's personal life is being invaded by marijuana grow-ops, people-smuggling, ballroom dancing, global piracy and the rise of China. Everybody in both worlds seems to inhabit a moral grey zone, and nobody is exempt, not even his seemingly strait-laced parents or Coupland himself...",0747585873,9780747585879,-N4kHAAACAAJ,554,12.9x19.8x19.6 cm,,"Bureaucracy, Electronic games industry, Virtual reality, Fiction / Humorous, Juvenile Fiction / Fantasy & Magic",,http://bks3.books.google.com/books?id=-N4kHAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=-N4kHAAACAAJ
Just Ju-Jitsu,,,Ken Cole,,,Crowood,2006-06-01,"In this comprehensive work, the author adopts a strictly non-partisan approach and presents a guide to ""a basic syllabus"" for ju-jitsu. He does not examine any one particular style or syllabus formulated by a single ju-jitsu association, and has written a book that will benefit all ju-jitsu students, whatever their style. Designed as a reference work for both experienced practitioners and novices alike, the book provides students with a good grounding in the variety of techniques they might be expected to learn for their ""apprenticeship""—from white belt through to black belt first dan.",1861268491,9781861268495,3CIlAAAACAAJ,224,16.5x23.1x1.3 cm,,"Jiu-jitsu, Sports & Recreation / Martial Arts & Self-Defense",,http://bks8.books.google.com/books?id=3CIlAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=3CIlAAAACAAJ
Karate-Do,My Way of Life,,Gichin Funakoshi,,,Kodansha International,1981-09-15,"Linking the time when karate was a strictly Okinawan art of self-defense shrouded in the deepest secrecy and the present day, when it has become a martial art practiced throughout the world, is Gichin Funakoshi, the ""Father of Karate-do."" Out of modesty, he was reluctant to write this autobiography and did not do so until he was nearly ninety years of age. Trained in the Confucian classics, he was a schoolteacher early in life, but after decades of study under the foremost masters, he gave up his livelihood to devote the rest of his life to the propagation of the Way of Karate. Under his guidance, techniques and nomenclature were refined and modernized, the spiritual essence was brought to the fore, and karate evolved into a true martial art. Various forms of empty-hand techniques have been practiced in Okinawa for centuries, but due to the lack of historical records, fancy often masquerades as fact. In telling of his own famous teachers-and not only of their mastery of technique but of the way they acted in critical situations-the author reveals what true karate is. The stories he tells about himself are no less instructive: his determination to continue the art, after having started it to improve his health; his perseverance in the face of difficulties, even of poverty; his strict observance of the way of life of the samurai; and the spirit of self-reliance that he carried into an old age kept healthy by his practice of Karate-do.",0870114638,9780870114632,jF0NHw8XY6YC,152,17.8x19.0x1.3 cm,,"Funakoshi,, Gichin, Karate, Biography & Autobiography / Sports, Sports & Recreation / General, Sports & Recreation / Martial Arts & Self-Defense",,http://bks4.books.google.com/books?id=jF0NHw8XY6YC&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=jF0NHw8XY6YC
Kendo,the definitive guide,,Hiroshi Ozawa,,,Kodansha International,1997-07-15,"Kendo-the Way of the Sword-is one of the oldest of Japan's martial arts and the one most closely associated with the samurai. Immortalized in the action movies of Akira Kurosawa and in the bestselling novel Musashi, Kendo--originally a form of swordsmanship-has in recent years developed into a popular and highly competitive sport enjoyed by thousands of men and women around the world. Kendo: The Definitive Guide is the first book in English to provide a practical and truly comprehensive approach to the subject. Everything that the novice needs to know, from basic information about purchasing, wearing, and maintaining essential equipment to competing in international tournaments, is explained in simple, straightforward language. Step-by-step explanations of fundamental techniques to be mastered to attain black belt level are illustrated in easy-to-follow line drawings. With appendices giving the rules at international competitions and important information about Kendo clubs outside Japan, Kendo is the definitive guide for all non-Japanese Kendoists. A special section about the history and development of this martial art and guidelines for running practice sessions also make it a unique resource for all teachers of Kendo. The definitive guide includes - basic Kendo principles and techniques - official International Kendo Federation regulations - list of Kendo clubs and national associations around the world",4770021194,9784770021199,aRQoz5S_OhIC,196,25.9x27.0x2.0 cm,,"Kendo, Swordplay, Sports & Recreation / Martial Arts & Self-Defense, Sports & Recreation / Fencing, Sports & Recreation / General",,http://bks0.books.google.com/books?id=aRQoz5S_OhIC&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=aRQoz5S_OhIC
Kodokan judo,,,Jigorō Kanō,,,Kodansha International,1994-07-31,"Judo, or the Way of Gentleness, an ideal form of physical exercise and a reliable system, of self-defense, was specially created from traditional Japanese martial arts. This book by the creator of Kodokan judo is uniquely comprehensive and the most authoritative guide to this martial art ever published. Over a hundred years ago Jigoro Kano mastered swordsmanship and hand-to-hand combat. Failing to discover any underlying principle, he set about designing a new martial art to reflect the concept of maximum efficiency in the use of physical and mental energy. Today, the concepts and techniques of judo taught at the Kodokan are the ones originally devised by their creator and collected together in this book. Covering everything from the fundamental techniques to prearranged formal exercises for both men and women, the book offers detailed explanations of how techniques are combined in two types of practice: randori (free practice) and kata (the practice of forms). In addition to a discussion of traditional methods of resuscitation, the book concludes with a useful appendix of information on the founder and the Kodokan International Judo Center, and a glossary of judo terminology. Fully illustrated throughout, Kodokan Judo will help students and instructors everywhere to discover the principles, techniques, and spirit of this popular martial art.",4770017995,9784770017994,e6wUXRgLEfYC,272,25.7x26.0x1.8 cm,,"Judo, Sports & Recreation / General, Sports & Recreation / Martial Arts & Self-Defense",,http://bks5.books.google.com/books?id=e6wUXRgLEfYC&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=e6wUXRgLEfYC
LabVIEW student edition 6i,,,Robert H. Bishop,,,Prentice Hall,2001-01-01,"For courses in Measurement and Instrumentation, Introduction to Electrical Engineering, and Signals and Systems. National Instruments' LabVIEW is the de facto industry standard for test, measurement, and automation software solutions. The LabVIEW Student Edition delivers the graphical programming capabilities of the LabVIEW professional version. With the Student Edition, students can design graphical programming solutions to their classroom problems and laboratory experiments. With LabVIEW, you build virtual instruments (VIs) instead of writing programs. You quickly create front panel user interfaces, giving you interactive control of your software system. To specify the functionality, you intuitively assemble block diagramsa natural design notation for engineers and scientists. Typical uses of LabVIEW in Mechanical Engineering include measurements and instrumentation, fluid mechanics, heat and mass transfer, and automatic control systems.",0130325503,9780130325501,V6RzQgAACAAJ,505,18.0x24.0x3.2 cm,,"Computer graphics, LabVIEW, Scientific apparatus and instruments, Computers / Computer Graphics, Computers / Computer Engineering, Science / Weights & Measures, Science / Scientific Instruments",,http://bks5.books.google.com/books?id=V6RzQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=V6RzQgAACAAJ
Last night a DJ saved my life,the history of the disc jockey,,"Bill Brewster, Frank Broughton",,,Headline,2006-08-01,"To celebrate 100 years of DJing, Bill Brewster and Frank Broughton have expanded and updated their classic account of the history of the disc jockey. The DJ was born on Christmas Eve, 1906 when Reginald Fessenden became the first person to play a record over the radio. A century later and the DJ is the central figure in popular music. From these humble 'talking jukebox' origins to today's DJ superstars earning rock star salaries with a fanbase to match, the history of the DJ is fascinating and unpredictable. The story of these unlikely cultural icons takes the reader through the swinging sixties, through the sequinned revolution that was disco, via hip hop and house to mass-market global domination.",0755313984,9780755313983,ajhAPwAACAAJ,600,13.3x20.0x4.3 cm,,"Disc jockeys, Music / General, Performing Arts / Radio / General",,,http://books.google.com/books?id=ajhAPwAACAAJ
LATIN BEGINNER'S TEACH YOURSELF (PACK),TEACH YOURSELF BEGINNER'S LATIN AUDIOPACKAGE,,G. D. A. SHARPLEY,,,Teach Yourself Langu,,"'Teach yourself beginners Latin' makes an introduction to the language thats easy to follow, from start to finish. In contrast to other courses, it presents an humorous text, set in a medieval monastery that is under threat of attack from Vikings. It includes - enhanced English-Latin and Latin-English vocabularies, a section on pronunciation, language and cultural information, CD for quick and easy access to lessons, dialogues, and exercises.",0071424539,9780071424530,Y2CBRAAACAAJ,240,,,Foreign Language Study / General,,,http://books.google.com/books?id=Y2CBRAAACAAJ
Learn DOS in a day,,,Russell Allen Stultz,,,Wordware Pub.,1991-05-01,"The ""down and dirty"" information users need to tame the most popular operating system around, this book gives users all they need to know to start using DOS on their computers. Designed with the beginner in mind, you'll find the most common commands explained and clarified with hands-on activities.",1556222033,9781556222030,0v7COQAACAAJ,144,15.9x22.8x1.3 cm,,"MS-DOS (Computer file), Computers / Operating Systems / Windows Workstation, Computers / Operating Systems / DOS",,,http://books.google.com/books?id=0v7COQAACAAJ
Learn to play electric guitar,,,"Nigel Hooper, Caroline Hooper",,,Usborne,1997-01-01,,0746024150,9780746024157,CuPEGAAACAAJ,48,,,"Electric guitar music, Electric guitar",,,http://books.google.com/books?id=CuPEGAAACAAJ
Learn To Play The Guitar A Step By Step Guide,,,"Nick Freeth, Parragon Book Service Limited",,,Parragon,2006-07-01,,1405476222,9781405476225,j57rAAAACAAJ,96,22.8x29.0x1.8 cm,,"Guitar, Music / Musical Instruments / Guitar",,http://bks4.books.google.com/books?id=j57rAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=j57rAAAACAAJ
Learn VB .Net through game programming,,,Matt Tagliaferri,,,Apress,2003-08-04,"(Matthew Tagliaferri) wanted a way to introduce the important principals of OOP and .NET, and games seemed like a way to do it that everyone could appreciate and understand. I think he really succeeded. - Dan Mabbutt, Visual Basic Guide on About.com Teaches object-oriented programming quickly and easily Game examples make for fun learning Shows both the wrong way and the right way through an intuitive and innovative approach to learning Written in a peer-to-peer language, easily accessible to young coders Beginning programmers often motivate themselves by creating a first project in a subject that they are interested in. Many young programmers are interested in game programming. Learn VB .NET Through Game Programming is a self-paced learning tutorial designed to help any developer master the basics of object-oriented programming (OOP) with Microsoft Visual Basic .NET. Unlike other books on OOP, this easy-to-understand book provides readers with peer-level language, while illustrating concepts with definitive and intuitive game programming examples.",1590591143,9781590591147,a0MRuh37iN8C,408,17.8x23.0x2.3 cm,,"Microsoft Visual BASIC, Computer games, Microsoft .NET Framework, BASIC (Computer program language), Microsoft .NET, Computer games/ Programming, Computers / Programming Languages / General, Computers / Programming / General, Computers / Programming Languages / Visual BASIC, Computers / Operating Systems / General, Computers / General, Computers / Programming / Software Development, Computers / Computer Graphics / Game Programming & Design, Computers / Programming Languages / BASIC, Computers / Internet / Application Development, Games / Video & Electronic",,http://bks3.books.google.com/books?id=a0MRuh37iN8C&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=a0MRuh37iN8C
Learning to Pass the European Computer Driving Licence,,,Angela Bessant,,,Heinemann,2001-11-22,,0435455753,9780435455750,l_ljPQAACAAJ,397,16.0x23.0 cm,,"Computers / Hardware / Personal Computers / General, Computers / Certification Guides / General",,http://bks4.books.google.com/books?id=l_ljPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_gdata,http://books.google.com/books?id=l_ljPQAACAAJ
